n_clusters,samples,time,entropy,iterations
13,500,0.5798770000000001,3.99615,10
13,500,0.611947,4.028821,13
13,1000,0.893064,4.011784,0
13,1000,0.8266629999999999,4.023532,1
13,1000,0.851992,4.003376,5
13,1000,0.927334,4.005952,10
13,1000,0.8767799999999999,4.00711,13
13,2500,1.8075729999999999,4.037007,0
13,2500,1.709717,3.998354,1
13,2500,1.7309450000000002,3.983521,5
13,2500,1.841123,4.005768,10
13,2500,1.7823380000000002,3.985461,18
13,5000,3.112367,4.020675,0
13,5000,3.133057,3.9813769999999997,1
13,5000,3.130732,3.97172,5
13,5000,3.3878190000000004,3.9718809999999998,10
13,5000,3.204903,3.980406,14
14,500,0.620955,4.023328,0
14,500,0.560701,4.010145,1
14,500,0.558902,3.9981980000000004,5
14,500,0.561528,3.9879160000000002,10
14,500,0.622306,4.008121,14
14,1000,0.911488,4.022930000000001,0
14,1000,0.86492,4.037891,1
14,1000,0.863079,4.024082,5
14,1000,0.9647,3.9793160000000003,10
14,1000,0.899085,4.002936,17
14,2500,1.865707,4.010105,0
14,2500,1.7326169999999999,3.998701,1
14,2500,1.724954,3.987129,5
14,2500,1.885879,3.9593809999999996,10
14,2500,1.806198,3.9844660000000003,22
14,5000,3.140841,4.006737,0
14,5000,3.163672,3.9721290000000002,1
14,5000,3.182009,3.9778480000000003,5
14,5000,3.432321,3.9645,10
14,5000,3.3197980000000005,3.961639,26
15,500,0.621486,3.99407,0
15,500,0.578738,4.047026,1
15,500,0.5795399999999999,3.9639309999999996,5
15,500,0.603942,3.9786910000000004,10
15,500,0.6434449999999999,3.998656,21
15,1000,0.938894,4.015263,0
15,1000,0.8657360000000001,4.021928,1
15,1000,0.908689,3.9836120000000004,5
15,1000,0.9885520000000001,3.9966739999999996,10
15,1000,0.907956,3.9676489999999998,14
15,2500,1.761068,4.004954,0
15,2500,1.7238229999999999,4.021077,1
15,2500,1.7534880000000002,3.965568,5
15,2500,1.8702400000000001,3.968637,10
15,2500,1.806085,3.9984319999999998,13
15,5000,3.137079,4.012625,0
15,5000,3.149361,3.983532,1
15,5000,3.231296,3.9645650000000003,5
15,5000,3.406163,3.972626,10
15,5000,3.3661269999999996,3.9580900000000003,22
16,500,0.682443,3.9834980000000004,0
16,500,0.624528,3.9983660000000003,1
16,500,0.620455,3.9670019999999995,5
16,500,0.644551,3.971228,10
16,500,0.6696439999999999,3.97756,21
16,1000,0.945702,4.008883,0
16,1000,0.8953709999999999,3.974844,1
16,1000,0.8781049999999999,3.9996370000000003,5
16,1000,0.997235,3.962025,10
16,1000,0.9133879999999999,3.959015,15
16,2500,1.7511729999999999,4.01898,0
16,2500,1.747728,3.984153,1
16,2500,1.781073,3.9631239999999996,5
16,2500,1.925075,3.9757339999999997,10
16,2500,1.823923,3.9555010000000004,21
16,5000,3.165755,4.008098,0
16,5000,3.218252,3.978303,1
16,5000,3.19929,3.958937,5
16,5000,3.47035,3.948152,10
16,5000,3.456086,3.969008,26
17,500,0.6770010000000001,3.977235,0
17,500,0.6209859999999999,3.998076,1
17,500,0.6365149999999999,4.005953,5
17,500,0.63026,3.9794129999999996,9
17,500,0.695023,3.961644,19
17,1000,0.9729040000000001,4.003131,0
17,1000,0.925069,3.961029,1
17,1000,0.928161,3.9679559999999996,5
17,1000,1.0187540000000002,3.95971,10
17,1000,0.9419190000000001,3.9576300000000004,11
17,2500,1.7512869999999998,3.995427,0
17,2500,1.784903,3.9646220000000003,1
17,2500,1.8140610000000001,3.957326,5
17,2500,2.085959,3.950886,10
17,2500,1.898609,3.9750410000000005,23
17,5000,3.1946950000000003,3.988064,0
17,5000,3.183161,3.976946,1
17,5000,3.228129,3.948813,5
17,5000,3.5029529999999998,3.954644,10
17,5000,3.530468,3.951947,39
18,500,0.686462,3.9731669999999997,0
18,500,0.6326109999999999,4.012716,1
18,500,0.660933,3.987979,5
18,500,0.65759,3.952068,10
18,500,0.6907399999999999,3.97931,17
18,1000,0.9846520000000001,3.9849550000000002,0
18,1000,0.937781,3.9838199999999997,1
18,1000,0.929325,3.9700599999999997,5
18,1000,1.032406,3.9509339999999997,10
18,1000,0.9846229999999999,3.9501699999999995,14
18,2500,1.796504,3.983782,0
18,2500,1.841523,3.976547,1
18,2500,1.8140759999999998,3.961818,5
18,2500,2.070856,3.943578,10
18,2500,1.850932,3.9587660000000002,15
18,5000,3.2067080000000003,3.977304,0
18,5000,3.203268,3.962326,1
18,5000,3.3172870000000003,3.936637,5
18,5000,3.532082,3.947419,10
18,5000,3.4545199999999996,3.96811,23
19,500,0.710817,4.010622,0
19,500,0.650704,3.982607,1
19,500,0.657714,3.967981,5
19,500,0.679728,3.9860830000000003,10
19,500,0.729484,3.968808,20
19,1000,1.006661,3.9863160000000004,0
19,1000,0.9476600000000001,3.979886,1
19,1000,0.9430040000000001,3.943707,5
19,1000,1.087772,3.9579519999999997,10
19,1000,0.9963049999999999,3.955974,16
19,2500,1.8450400000000002,4.002281,0
19,2500,1.825506,3.9622800000000002,1
19,2500,1.833997,3.9464040000000002,5
19,2500,2.001486,3.935854,10
19,2500,1.8730529999999999,3.940749,10
19,5000,3.198314,3.972927,0
19,5000,3.233711,3.929764,1
19,5000,3.276348,3.9424410000000005,5
19,5000,3.550439,3.9452309999999997,10
19,5000,3.613347,3.942939,36
20,500,0.723266,3.9636989999999996,0
20,500,0.6954739999999999,3.947488,1
20,500,0.675323,3.956379,5
20,500,0.682643,3.9557660000000006,10
20,500,0.750781,3.960687,12
20,1000,1.017782,3.973729,0
20,1000,0.9690110000000001,3.957775,1
20,1000,1.002951,3.9550680000000003,5
20,1000,1.122641,3.955311,10
20,1000,1.021525,3.9523370000000004,21
20,2500,1.83493,3.9723010000000003,0
20,2500,1.829982,3.959714,1
20,2500,1.8776599999999999,3.950793,5
20,2500,2.015288,3.9454910000000005,10
20,2500,1.9342849999999998,3.924261,16
20,5000,3.2841720000000003,3.9628980000000005,0
20,5000,3.246052,3.9274089999999995,1
20,5000,3.3391889999999997,3.9364440000000003,5
20,5000,3.5356959999999997,3.920811,10
20,5000,3.778602,3.919948,45
30,500,0.9108149999999999,3.915138,0
30,500,0.848778,3.924272,1
30,500,0.879067,3.9168510000000003,5
30,500,0.8579549999999999,3.9022120000000005,10
30,500,0.9530639999999999,3.9310940000000003,13
30,1000,1.22395,3.9118730000000004,0
30,1000,1.147843,3.91775,1
30,1000,1.1765079999999999,3.912835,5
30,1000,1.3384770000000001,3.9187160000000003,10
30,1000,1.254253,3.898042,19
30,2500,2.024773,3.927765,0
30,2500,2.0083450000000003,3.916987,1
30,2500,2.0473310000000002,3.905294,5
30,2500,2.227298,3.8933120000000003,10
30,2500,2.1697990000000003,3.895133,18
30,5000,3.4490629999999998,3.933359,0
30,5000,3.444142,3.90637,1
30,5000,3.5091870000000003,3.8875550000000003,5
30,5000,3.8190209999999998,3.906317,10
30,5000,3.818718,3.895135,22
40,500,1.106419,3.896413,0
40,500,1.024201,3.9129099999999997,1
40,500,1.02966,3.9074410000000004,5
40,500,1.0448309999999998,3.8996510000000004,10
40,500,1.129129,3.8932860000000002,10
40,1000,1.4125450000000002,3.900582,0
40,1000,1.349337,3.904617,1
40,1000,1.349223,3.880346,5
40,1000,1.544234,3.881249,10
40,1000,1.5082659999999999,3.8800449999999995,36
40,2500,2.21338,3.902833,0
40,2500,2.22913,3.8768580000000004,1
40,2500,2.273309,3.870735,5
40,2500,2.498111,3.871118,10
40,2500,2.528343,3.873328,28
40,5000,3.619418,3.9006,0
40,5000,3.633639,3.876404,1
40,5000,3.710467,3.871341,5
40,5000,4.057743,3.864572,10
40,5000,4.003769999999999,3.879846,17
50,500,1.304829,3.8807970000000003,0
50,500,1.241118,3.894086,1
50,500,1.237456,3.87741,5
50,500,1.254305,3.8734330000000003,8
50,500,1.339936,3.8835339999999996,8
50,1000,1.589552,3.8740769999999998,0
50,1000,1.486939,3.8867279999999997,1
50,1000,1.556616,3.8665879999999997,5
50,1000,1.7506130000000002,3.87413,10
50,1000,1.592393,3.8768339999999997,11
50,2500,2.406011,3.8908629999999995,0
50,2500,2.369725,3.872783,1
50,2500,2.414458,3.870272,5
50,2500,2.743929,3.8610860000000002,10
50,2500,2.758625,3.8576129999999997,25
50,5000,3.8168230000000003,3.8901790000000003,0
50,5000,3.807357,3.8722559999999997,1
50,5000,3.959455,3.8583769999999995,5
50,5000,4.304654,3.8530900000000003,10
50,5000,4.431932,3.8512510000000004,24
100,500,2.2984299999999998,3.843585,0
100,500,2.128774,3.862084,1
100,500,2.1456150000000003,3.842304,5
100,500,2.304242,3.8465870000000004,7
100,500,2.198089,3.834103,8
100,1000,2.5394669999999997,3.8528230000000003,0
100,1000,2.413347,3.8447199999999997,1
100,1000,2.42437,3.8336550000000003,5
100,1000,3.003462,3.8402230000000004,10
100,1000,2.583884,3.832619,11
100,2500,3.3001699999999996,3.8503279999999998,0
100,2500,3.323696,3.836876,1
100,2500,3.394444,3.8225309999999997,5
100,2500,3.954654,3.824357,10
100,2500,3.872807,3.825742,22
100,5000,4.721742,3.8413180000000002,0
100,5000,4.794484,3.8359660000000004,1
100,5000,4.961995,3.821564,5
100,5000,5.587325,3.8249519999999997,10
100,5000,5.823999,3.8235900000000003,20
200,500,4.1833480000000005,3.815443,0
200,500,3.87699,3.83114,1
200,500,3.97705,3.819381,5
200,500,3.972202,3.82053,8
200,500,4.281467,3.815757,8
200,1000,4.496355,3.812466,0
200,1000,4.263461,3.8183300000000004,1
200,1000,4.333248,3.807464,5
200,1000,4.838091,3.810397,10
200,1000,4.513304,3.813539,11
200,2500,5.125572,3.8152699999999995,0
200,2500,5.191258,3.809283,1
200,2500,5.379055,3.802545,5
200,2500,6.0710370000000005,3.8026190000000004,10
200,2500,6.090358,3.801872,17
200,5000,6.543026,3.8109889999999997,0
200,5000,6.755408,3.804502,1
200,5000,7.114767,3.800378,5
200,5000,8.063139999999999,3.798047,10
200,5000,8.798153,3.7998769999999995,20
300,500,6.083735,3.7966949999999997,0
300,500,5.680985,3.816535,1
300,500,5.7614529999999995,3.8050599999999997,5
300,500,5.811464,3.80672,7
300,500,6.295738,3.8060300000000002,10
300,1000,6.369504,3.798914,0
300,1000,6.07797,3.80306,1
300,1000,6.2173419999999995,3.801346,5
300,1000,6.358391,3.796525,9
300,1000,7.024394999999999,3.7960629999999997,10
300,2500,6.959173,3.7991870000000003,0
300,2500,7.018857000000001,3.797747,1
300,2500,7.835875,3.7909910000000004,5
300,2500,8.29232,3.7931980000000003,10
300,2500,7.944864999999999,3.792995,12
300,5000,8.513353,3.7976910000000004,0
300,5000,8.571861,3.791467,1
300,5000,9.235726,3.787921,5
300,5000,10.731330999999999,3.785851,10
300,5000,11.371412,3.7855760000000003,18
400,500,8.038367,3.7894089999999996,0
400,500,7.508057000000001,3.8069699999999997,1
400,500,7.626206,3.797604,5
400,500,7.683393,3.797624,10
400,500,8.787780999999999,3.7988410000000004,33
400,1000,8.305822000000001,3.7889760000000003,0
400,1000,7.892638000000001,3.800126,1
400,1000,8.083294,3.792493,5
400,1000,8.250797,3.787837,8
400,1000,9.283517999999999,3.790257,10
400,2500,8.815909,3.787446,0
400,2500,8.891749,3.7905870000000004,1
400,2500,9.282612,3.783285,5
400,2500,10.509477,3.7855199999999996,10
400,2500,10.381921,3.782764,15
400,5000,10.221375,3.7870839999999997,0
400,5000,10.451791,3.7851449999999995,1
400,5000,11.353131,3.7793989999999997,5
400,5000,13.263375,3.7810550000000003,10
400,5000,14.375448,3.777129,19
500,500,9.915966000000001,3.780734,0
500,500,9.2933,3.8001160000000005,1
500,500,9.695507000000001,3.7953129999999997,5
500,500,9.576755,3.790264,10
500,500,12.842985,3.7941949999999998,100
500,1000,10.303316,3.7805980000000003,0
500,1000,9.634594,3.791692,1
500,1000,9.946025,3.7802309999999997,5
500,1000,10.810297,3.782307,9
500,1000,10.208167999999999,3.784417,9
500,2500,10.566215,3.783011,0
500,2500,10.711181,3.779375,1
500,2500,11.194212,3.77569,5
500,2500,12.730226,3.77596,10
500,2500,12.216105,3.777456,11
500,5000,12.083069,3.780615,0
500,5000,12.421873,3.776943,1
500,5000,13.508312,3.77159,5
500,5000,15.802036,3.772851,10
500,5000,16.727798,3.7725190000000004,17
1000,500,19.430161,3.759031,0
1000,500,18.285004999999998,3.791425,1
1000,500,18.495094,3.790662,5
1000,500,19.425521,3.7930010000000003,10
1000,500,25.32856,3.7874339999999997,100
1000,1000,19.834426999999998,3.758744,0
1000,1000,18.723453,3.7767769999999996,1
1000,1000,19.229502,3.768147,5
1000,1000,21.281473000000002,3.766712,10
1000,1000,29.81683,3.767561,100
1000,2500,19.56171,3.758313,0
1000,2500,20.051178,3.7659849999999997,1
1000,2500,21.053757,3.7593690000000004,5
1000,2500,21.762142,3.7586160000000004,7
1000,2500,23.982905,3.758401,10
1000,5000,21.433078,3.758668,0
1000,5000,21.852235999999998,3.7586129999999995,1
1000,5000,24.182632,3.753244,5
1000,5000,28.598938,3.753705,10
1000,5000,30.095777000000002,3.753333,16
2000,500,38.745055,3.736789,0
2000,500,36.203963,3.7863279999999997,1
2000,500,36.717523,3.7840279999999997,5
2000,500,40.08533,3.7815760000000003,10
2000,500,49.852721,3.784796,100
2000,1000,39.239498,3.736818,0
2000,1000,36.740454,3.766021,1
2000,1000,37.683858,3.76424,5
2000,1000,41.733236,3.7643480000000005,10
2000,1000,58.852415,3.764789,100
2000,2500,37.617717,3.736762,0
2000,2500,38.475241,3.749162,1
2000,2500,40.666957000000004,3.740877,5
2000,2500,46.465486,3.739732,10
2000,2500,52.316253,3.7399970000000002,26
2000,5000,39.824981,3.737257,0
2000,5000,41.000276,3.7403910000000002,1
2000,5000,45.233114,3.7360620000000004,5
2000,5000,49.567498,3.7358480000000003,9
2000,5000,54.069704,3.7349129999999997,10
